Name,Domain,tech_stack,monthly_visits,letter_grade,priority,signal_category,chosen_signal,angle_rationale,inference,why_it_matters,use_traffic_scale,genuine_positive,quotable_fact_to_use,secondary_point,secondary_reasoning,case_study_name,case_study_rationale,case_study_url,tone_flag,first_message,second_message,third_message
Feedcoyote,feedcoyote.com,angular,46015,D,high,performance,slow load + layout shift (real-user poor),none,a freelancer network grows by word of mouth among creatives,at 45k+ visits/mo a faster site keeps more creatives signing up,True,strong social proof,none,"ad cookies before consent (meta pixel), banner present",Advertising cookies (meta pixel) set before consent with a banner that isn't blocking them. Framed as a neutral GDPR-compliance fact with the EU-traffic assumption.,Studio Artegra,"Message 1 flagged slow load plus layout shift on a site that otherwise works fine visually, exactly the Studio Artegra story: strong site, slow and janky under the surface, fixed page by page for a measurable performance gain.",https://prismport.co/case-studies/studio-artegra,clean,"Hey {first-name}, came across Feedcoyote while looking at B2B SaaS sites.
A place where freelancers team up and earn together is the kind of thing that spreads creative to creative, so I'd guess most of your growth is word of mouth.
Which puts weight on the first visit, and right now the site is slow to load and shifts around as it settles, the easiest high-impact thing to fix.
At over 45k visits a month, getting that fast keeps more of those creatives signing up.
Is site performance something you're looking at?","Hey {first-name}, quick context, we're a design and Webflow studio. We recently worked with Studio Artegra, a creative agency, on a problem pretty close to yours, a site that looked fine but was slow and inconsistent under the surface.
https://prismport.co/case-studies/studio-artegra
We improved performance by over 25% across the site, which for Feedcoyote at your traffic means a faster, steadier first visit for more of those creatives.
Happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Clear,www.cleareyetest.com,angular,4944,D,medium,content,thin credibility / depth,"Content (35) is weakest and it is a medical/trust product, so credibility/depth is the honest lead; not high traffic (4,944) so no scale math; only lab speed data, no real-user perf to cite.","A digital eye-diagnosis tool is a trust-heavy, medical decision, so most people arrive already referred and the site has to earn that same trust for anyone landing cold.",A site with more proof and depth converts more of the cold visitors weighing whether to trust it.,False,The core offering comes through clearly.,clear in its core offering,none,No secondary signals detected in the audit.,NewsCatcherAPI,"NewsCatcher's site was thin and single-page like Clear's, undercutting a serious technical/authority offering, and the fix was adding depth and real content structure, matching the credibility-and-depth pitch directly.",https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Clear while looking at tech sites. This is a trust-heavy, medical decision, so I'd guess most people arrive already referred, and the site has to earn that same trust for anyone landing cold. The core offering comes through clearly, but the site stays fairly light on proof and depth right now, so there's real room to make it feel as credible as the diagnosis behind it. A fuller, more credible site would help more of those cold visitors actually commit. Is a refresh something you're weighing?","Hey {first-name}, quick context, we're a design and Webflow studio.

Hey Clear, quick context, we're a design and Webflow studio. We recently worked with NewsCatcherAPI, an enterprise API company, on a problem close to yours, their site stayed thin and single-page even though the product behind it was serious and trusted by major institutions, so it wasn't earning the credibility it deserved. We restructured the site around real use cases and built out the depth to match the substance of what they do.
https://prismport.co/case-studies/newscatcher
Session time went from around 20 seconds to over 3 minutes, 3,600% more engagement, and that same kind of depth is what would help more of Clear's cold visitors trust the site enough to commit.
Happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
National Cryptocurrency Association,nca.org/,contentful,25216,D,medium,content,thin proof / credibility for a content hub,"Design (52) actually makes intentional choices and isn't the weak point, so leading on 'generic stock' was the safe pick, not the real one. The content note flags a hub that lacks specific proof points and depth; for an education brand whose whole job is making crypto trustworthy to newcomers, credibility/proof is the true conversion lever, so I led there. (AI-search-invisibility would naturally lead for a content/discovery brand like this, but the audit did not detect it here, so citing it would be inventing.)","An association built to make crypto approachable for everyday people grows through reputation and press, so the site has to make that mission feel credible and substantial to newcomers landing cold.","At 25k+ visits a month, a site that carries more proof and depth turns more of those curious first-timers into trusting members.",True,The mission is clear and the site already makes some intentional design choices.,"acts as a content hub, lacking specific proof points","ad_cookies_before_consent: Microsoft Ads, Meta Pixel, X/Twitter ads","Three advertising cookies set before consent with a banner present is the most concrete, defensible secondary here; no other signal flagged.",NewsCatcherAPI,"NewsCatcher had a single-page site that was too thin to hold up its enterprise credibility, same core problem as NCA's mission-first, proof-thin content hub, and the fix was restructuring around real use cases rather than a design or performance tweak.",https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across the National Cryptocurrency Association while looking at crypto and web3 products. Making a genuinely confusing space feel approachable for everyday people is a mission worth doing, and I'd guess most of your growth comes through reputation and press. Which puts the weight on newcomers landing cold, and right now the site stays fairly high-level, more mission than proof, so there's real room to make it carry the depth and credibility that gets first-timers to trust it. At over 25k visits a month, a site that backs up the mission converts more of those curious people into the community. Is building out the site something you're thinking about?","Hey {first-name}, quick context, we're a design and Webflow studio. We worked with NewsCatcher, an enterprise API company, on a problem close to yours, their site stayed single-page and thin even though the product itself backed up serious credibility, so we restructured it around real use cases and built animations to explain the depth behind it.
https://prismport.co/case-studies/newscatcher
Session time went from around 20 seconds to over 3 minutes, 3,600% more engagement, which is the kind of shift that matters at your 25k+ monthly visits, more of those first-timers actually staying long enough to trust the mission.
Happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Hoora,hooragames.com/en,custom/static,0,D-,high,content,thin content that doesn't explain the product,"Design (45) is generic but not the loudest problem; content (20) is far weaker and directly hurts a cold visitor's ability to understand what Hoora even is, which matters more for a consumer gaming app than an under-40 design score. Accessibility is real (2 critical, lawsuit risk true) but low-probability as a lead since it reads as legal-threat framing, so it stays unused rather than forced. AI invisibility is staged for message 2 as the secondary point since Hoora is a content/discovery-driven consumer product where being unreadable to AI search is a genuine, distinct concern worth its own beat.","raising funding for a mobile-first, scroll-and-play product usually means most of your install growth comes from app store browsing and word of mouth between players, so the website's job is really just catching the person who lands on it cold before they ever open the app.","right now the site does not do much to explain the 200-plus games or why someone should care in the few seconds they give it, so that cold visitor moment is probably the one part of the funnel not pulling its weight yet.",False,"clean dark mode look with no glaring errors, a decent foundation to build distinctiveness on",none,ai_invisible_client_rendered,"Chosen as the only secondary signal present; relevant beyond the main angle because a discovery-driven gaming app being invisible to ChatGPT and AI Overviews is a distinct, concrete finding worth flagging on its own in message 2.",Webless AI,"Webless AI is the best problem-match: an abstract, hard-to-grasp product (AI, like Hoora's scrollable game feed) where thin messaging was hurting engagement and conversion, and the fix directly lifted time on page and bounce, the same outcome Hoora needs from clearer content, even though the industries differ.",https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across Hoora scrolling through some mobile gaming platforms.

Raising funding for a scroll-and-play app like this usually means most of your growth is coming from app store browsing and word of mouth between players.

Which probably means the website's real job is just catching the person who lands on it cold, before they ever open the app, and right now it doesn't say a ton about what the 200-plus games actually are or why to care.

Is building out the site something you're thinking about?","Hey {first-name}, we recently worked with Webless AI, an AI product with a similar challenge to yours, where the site wasn't doing enough to make an abstract product click fast.

https://prismport.co/case-studies/webless-ai

We rebuilt it and bounce dropped 20%, with time on page up 32%.

Felt close to what you're working through with Hoora's feed. Happy to show you how we'd approach yours.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read you right now, which only matters more for getting found.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
iAsk Ai,iask.ai/,custom/static,1037821,C,high,design,design lacking distinctiveness for a #1-ranked AI product,"Competing signals were responsiveness (needs-improvement, 249ms, real but not severe enough to lead) and content (66, thin on B2B proof but that's secondary given they're consumer-search-facing). Design at 48 is the strongest lead here because iAsk's whole pitch is being the fastest, most accurate AI in the world, at over a million monthly visits, so a template-feeling site undersells the exact claim they're making. It's the highest-impact, most opportunity-framed angle rather than the most technically measurable one.","With 750 million searches processed and a #1 benchmark ranking, I'd guess most of your traffic already knows who you are before they land, people searching you out directly or hearing about the benchmarks. Which means the site's real job is convincing the cold visitors who show up comparing you to every other AI search tool.","At over a million visits a month, even a small lift in how many first-time visitors stick around and try iAsk instead of a competitor adds up to a large number of new users, and right now the design reads as competent but not distinct enough to make that split-second case.",True,"#1 ranking on MMLU-Pro and GPQA benchmarks, named Best Search Engine of 2026 by Slashdot",iAsk has processed 750 million searches,none,"No secondary_signals object present in the bundle, so message 2 relies on the case study and studio identity only.",Webless AI,"Webless AI is the strongest fit by problem and category: it's an AI product where the site needed to convert cold, skeptical visitors quickly, the exact gap named in message 1, and its metrics (bounce down 20%, time on page up 32%) speak directly to visitor engagement rather than a vanity redesign metric.",https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across iAsk looking into AI search tools.

With 750 million searches processed and the benchmark rankings you've got, I'd guess a lot of your traffic already knows who you are, direct searches, word of mouth, people chasing the #1 ranking.

Which means the site's real job is winning over the people landing cold and comparing you to every other AI search tool in the tab next to it. Right now it's clean and functional, but it doesn't quite make the case as fast as the benchmarks do.

At your traffic, even a small lift there is a lot of new users. Is a redesign something you've got on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless AI, another AI product facing a similar challenge to yours.

https://prismport.co/case-studies/webless-ai

We rebuilt their site and got bounce down 20% and time on page up 32%. Felt close to what you're working through with turning cold visitors into users. Happy to show you how we'd approach iAsk.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Pickleheads,www.pickleheads.com,custom/static,530468,C-,high,design,"pickleball is exploding and you're how players find courts, ",none,"pickleball is exploding and you're how players find courts, so growth is mostly word of mouth between players","at 500k+ visits/mo, a site that feels as fun as the sport converts more cold players",True,"clear, fast site + strong court data",none,none,none,YourCulture,"YourCulture is a consumer/culture brand where the problem was a flat, lifeless site failing to match the energy of its audience, closest match to Pickleheads needing a site as fun and alive as pickleball itself, with a fitting consumer/community adjacency.",https://prismport.co/case-studies/your-culture,clean,"Hey {first-name}, came across Pickleheads while looking at consumer apps.
Pickleball is having a real moment, and since you're the place players go to find a game, I'd guess most of your growth is word of mouth, one player telling another.
Which puts the weight on cold players landing for the first time, and the site has room to feel as fun and alive as the sport itself.
At over 500k visits a month, even a small lift in how many of them sign up is a real number of players.
Is leveling up the site something you're thinking about?","Hey {first-name}, quick context, we're a design and Webflow studio. We recently worked with YourCulture, a fan community platform for artists and labels, on a problem close to yours, a site that said almost nothing when the brand and audience were full of energy. We rebuilt it around two full journeys with expressive typography and motion:
https://prismport.co/case-studies/your-culture
We still hit 97 on Lighthouse, with perfect accessibility and SEO, so nothing was traded for that energy, and for Pickleheads that same lift could mean more of your 500k monthly visitors sticking around long enough to sign up.
Happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
SimpleX Chat,simplex.chat,custom/static,212694,B-,high,design,a privacy-first messenger spreads through privacy-conscious ,none,a privacy-first messenger spreads through privacy-conscious communities and word of mouth,"at 200k+ visits/mo, a site that makes the privacy edge land fast converts more cold visitors",True,genuinely unique privacy positioning + strong docs,none,none,none,Webless AI,"SimpleX has a technical, abstract product (a privacy protocol with no user ids) that visitors can't grasp fast, exactly the problem Webless had, and the fix was a design overhaul that made the concept tangible and measurably improved engagement, not a performance fix.",https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across SimpleX while looking at consumer apps.
A messenger with no user ids at all is a real differentiator, and I'd guess word of it spreads through privacy communities more than anything cold.
Which means when someone does land cold, the site has to make that edge click instantly, and there's room for the design to feel as sharp as the idea behind it.
At over 200k visits a month, even a small lift in how many of those people get it and sign up adds up.
Is leveling up the site on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.
We worked with Webless AI, a generative AI search company, on a problem close to yours, their tech was impressive but the site gave visitors no way in to understand it.
https://prismport.co/case-studies/webless-ai
After we rebuilt the brand and narrative around real use cases, bounce rate dropped 20% and time on page grew 32%, which is the kind of lift that matters at your traffic when someone lands cold and needs the privacy edge to click fast.
Happy to show you how we'd approach it for SimpleX.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Pin,www.pin.com,custom/static,163378,C+,high,performance,load + responsiveness needs-improvement,none,recruiters and teams pass tools along,at 160k+ visits/mo a faster site keeps more moving through,True,"strong, well-structured content (84)",none,"ad cookies before consent (microsoft ads and meta pixel), no banner","Advertising cookies (microsoft ads and meta pixel) set before consent, no banner. Framed as a neutral GDPR-compliance fact with the EU-traffic assumption.",Studio Artegra,"Message 1 raised load speed and responsiveness on a site that already reads well content-wise, which mirrors Artegra's exact story: strong visual direction undercut by slowness and inconsistency across devices, fixed with a measurable performance gain.",https://prismport.co/case-studies/studio-artegra,clean,"Hey {first-name}, came across Pin while looking at AI tools.
Your content makes a strong case, and I'd guess a lot of your growth is recruiters and teams passing it along.
The one thing with room is speed, the site takes a moment to load and react right now, which adds friction for busy people skimming fast.
At over 160k visits a month, making it feel quick keeps more of those visitors moving through.
Is site performance something you're looking at?","Hey {first-name}, quick context, we're a design and Webflow studio. We recently worked with Studio Artegra, a creative agency, on a problem close to yours, their site looked strong but was slow and inconsistent across devices under the surface. We went page by page and fixed it.
https://prismport.co/case-studies/studio-artegra
Performance improved by over 25% across the site, that's the kind of gain that keeps more of your 160k monthly visitors moving through instead of dropping off.
Happy to show you how we'd approach it for Pin.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
GyanDhan,www.gyandhan.com/,custom/static,155569,B-,high,design,"education loans run on trust, so most borrowers come through",none,"education loans run on trust, so most borrowers come through referrals and counselor recommendations","at 150k+ visits/mo, a clearer site converts more of the students who land cold",True,"strong, detailed content",none,"ad cookies before consent (microsoft ads and meta pixel), no banner","Advertising cookies (microsoft ads and meta pixel) set before consent, no banner. Framed as a neutral GDPR-compliance fact with the EU-traffic assumption.",Wonder Phone,"GyanDhan's pitch is about a consumer-facing marketplace where trust and presentation determine whether cold visitors convert, Wonder Phone is the closest match where design directly drove a sales lift for a consumer audience landing cold, versus the other studies which prove clarity for technical/SaaS products rather than conversion for consumer trust decisions.",https://prismport.co/case-studies/wondersimple,clean,"Hey {first-name}, came across GyanDhan in the education loans space.
Financing a degree abroad is a huge trust decision, so I'd guess most of your borrowers arrive through referrals and word of mouth rather than cold.
Which means the site's real job is winning the students who do land cold, and the design has room to make your edge as a marketplace land faster.
At over 150k visits a month, even a small lift in how many convert is a real number of borrowers.
Is a refresh something you're weighing?","Hey {first-name}, quick context, we're a design and Webflow studio.
We worked with Wonder Phone, a consumer product, on a close problem, the product itself was strong but the site wasn't presenting it in a way that built enough confidence to convert.
https://prismport.co/case-studies/wondersimple
After the redesign, sales increased by over 50%, which is the kind of lift that matters most for you given how many cold, trust sensitive borrowers land on GyanDhan every month.
Happy to show you how we'd approach yours if useful.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Skyvern,www.skyvern.com/,custom/static,91845,B+,high,design,design leans on standard ai-saas look (58),none,a technical agent product spreads dev to dev,at 90k+ visits/mo a distinctive site converts a craft-noticing crowd,True,exceptionally clear content (85),none,ssl expiring soon,SSL cert expires in ~28 days.,Webless AI,"Webless is an AI company whose design read as generic/abstract for a technical audience, we rebuilt the brand and visuals and got measurable engagement lift, which directly proves the distinctiveness pitch made to Skyvern's technical, craft-noticing audience.",https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across Skyvern while looking at AI tools.
Your content is genuinely sharp, and I'd guess most of your growth is technical folks telling other technical folks.
The one thing with room is the design, it's clean but leans on the standard AI-SaaS look, and the crowd evaluating an agent product is exactly the kind that notices craft.
At over 90k visits a month, a more distinctive site converts more of them.
Is a refresh something you're thinking about?","Hey {first-name}, quick context, we're a design and Webflow studio.
We worked with Webless AI, a generative AI search company, on a problem close to yours, their tech was impressive but the design didn't set them apart or make the product feel tangible.
https://prismport.co/case-studies/webless-ai
After we rebuilt the brand and visuals, bounce rate dropped 20% and time on page grew 32%, that's the kind of lift a more distinctive site could bring for Skyvern's 90k+ monthly visitors.
Happy to show you how we'd approach yours if that's useful.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
